代碼,股利發放年度,股利合計
1217,2015,0.0
1217,2014,0.0
1217,2013,0.0
1217,2012,0.0
1217,2011,0.0
1217,2010,0.0
1217,2009,0.0
1217,2008,0.0
1217,2007,0.0
1217,2006,0.0
1217,2005,0.0
1217,2004,0.0
1217,2003,0.0
1217,2002,0.0
1217,2001,0.0
1217,2000,0.5
1217,1999,0.5
1217,1998,1.45
1217,1997,1.5
1217,1996,0.7
1217,1995,2.0
1217,1994,2.08
1217,1993,1.6
1217,1992,1.6
1217,1991,2.48
1217,1990,3.67
1217,1989,2.17
1217,1988,2.5
1217,1986,0.75
1217,1985,0.0
1218,2022,1.0
1218,2021,1.4
1218,2020,0.9
1218,2019,0.8
1218,2018,0.4
1218,2017,0.0
1218,2016,0.0
1218,2015,0.0
1218,2014,0.0
1218,2013,0.0
1218,2012,0.5
1218,2011,0.65
1218,2010,0.6
1218,2009,0.0
1218,2008,0.0
1218,2007,0.0
1218,2006,0.2
1218,2005,0.2
1218,2004,0.4
1218,2003,0.0
1218,2002,0.0
1218,2001,0.0
1218,2000,0.0
1218,1999,0.0
1218,1998,1.0
1218,1997,0.8
1218,1996,0.5
1218,1995,0.8
1218,1994,0.79
1218,1993,1.2
1218,1992,2.2
1218,1991,2.2
1218,1990,1.6
1218,1989,2.0
1218,1988,0.25
1218,1987,1.48
1218,1986,0.7
1219,2022,1.1
1219,2021,1.0
1219,2020,0.4
1219,2019,0.1
1219,2018,0.3
1219,2017,0.4
1219,2016,0.25
1219,2015,0.36
1219,2014,0.15
1219,2013,0.3
1219,2012,1.0
1219,2011,0.75
1219,2010,0.67
1219,2009,0.0
1219,2008,0.6
1219,2007,0.22
1219,2006,0.15
1219,2005,0.0
1219,2004,0.12
1219,2003,0.12
1219,2002,0.1
1219,2001,0.0
1219,2000,0.0
1219,1999,0.0
1219,1998,0.2
1219,1997,0.5
1219,1996,0.5
1219,1995,1.0
1219,1994,0.5
1219,1993,0.2
1219,1992,1.0
1219,1991,1.2
1219,1990,0.0
1219,1989,2.78
1219,1988,0.1
1219,1986,2.0
1220,2022,1.0
1220,2021,1.0
1220,2020,0.6
1220,2019,0.46
1220,2018,0.4
1220,2017,0.65
1220,2016,0.5
1220,2015,0.3
1220,2014,0.35
1220,2013,0.4
1220,2012,0.0
1220,2011,0.0
1220,2010,0.0
1220,2009,0.0
1220,2008,0.0
1220,2007,0.0
1220,2006,0.0
1220,2005,0.0
1220,2004,0.0
1220,2003,0.0
1220,2002,0.0
1220,2001,0.2
1220,2000,0.9
1220,1999,0.85
1220,1998,0.8
1220,1997,0.0
1220,1996,0.0
1220,1995,0.3
1220,1994,0.5
1220,1993,0.5
1220,1992,1.5
1220,1991,0.8
1220,1990,1.8
1220,1989,0.8
1220,1988,10.0
1225,2022,1.6
1225,2021,1.4
1225,2020,1.3
1225,2019,1.15
1225,2018,1.25
1225,2017,1.25
1225,2016,1.0
1225,2015,0.25
1225,2014,0.24
1225,2013,0.38
1225,2012,0.6
1225,2011,0.8
1225,2010,0.34
1225,2009,0.0
1225,2008,0.25
1225,2007,0.0
1225,2006,0.0
1225,2005,0.0
1225,2004,0.0
1225,2003,0.0
1225,2002,0.0
1225,2001,0.0
1225,2000,0.0
1225,1999,0.0
1225,1998,1.0
1225,1997,1.0
1225,1996,1.2
1225,1995,1.0
1225,1994,0.45
1225,1993,0.5
1225,1992,1.0
1225,1991,1.5
1225,1990,0.44
1225,1989,1.05
1227,2022,1.9
1227,2021,2.5
1227,2020,2.65
1227,2019,2.5
1227,2018,2.0
1227,2017,2.0
1227,2016,2.7
1227,2015,2.6
1227,2014,2.5
1227,2013,3.5
1227,2012,4.8
1227,2011,5.0
1227,2010,3.5
1227,2009,1.45
1227,2008,0.9
1227,2007,1.3
1227,2006,1.1
1227,2005,1.1
1227,2004,0.5
1227,2003,0.6
1227,2002,0.5
1227,2001,1.2
1227,2000,1.5
1227,1999,2.5
1227,1998,2.5
1227,1997,4.0
1227,1996,4.0
1227,1995,4.0
1227,1994,4.0
1227,1993,4.0
1227,1992,4.0
1227,1991,3.3
1229,2022,2.3
1229,2021,2.7
1229,2020,3.2
1229,2019,2.1
1229,2018,2.8
1229,2017,2.1
1229,2016,1.45
1229,2015,1.8
1229,2014,1.0
1229,2013,1.0
1229,2012,1.0
1229,2011,1.5
1229,2010,0.8
1229,2009,0.6
1229,2008,1.2
1229,2007,1.0
1229,2006,0.8
1229,2005,0.6
1229,2004,0.5
1229,2003,0.2
1229,2002,0.2
1229,2001,0.4
1229,2000,0.65
1229,1999,0.5
1229,1998,0.7
1229,1997,0.7
1229,1996,1.1
1229,1995,2.0
1229,1994,0.6
1229,1993,0.5
1229,1992,1.2
1229,1991,2.0
1229,1990,1.0
1229,1989,1.15
1229,1988,2.2
1229,1987,1.0
1229,1986,0.8
1229,1985,0.7
1229,1984,0.2
1231,2022,2.6
1231,2021,2.6
1231,2020,2.1
1231,2019,2.3
