代碼,商品,新聞內容,日期
1101,台泥,台泥:公告本公司112年股東常會紀念品(電子投票)發放日期延後,2023-06-02
2412,中華電,中華電:本公司將參加UBS舉辦之投資人會議,2023-06-02
3023,信邦,信邦5月營收29.23億元年增17.22% 1—5月達143.48億元,2023-06-02
3530,晶相光,晶相光5月營收1.37億元年減20.43% 1—5月達7.01億元,2023-06-02
2002,中鋼,中鋼:代子公司中龍鋼鐵公司補充原111年12月26日公告112年度發行國內普通公司債之資訊,2023-06-02
6235,華孚,華孚:新聞稿-華孚112年5月自結合併營收為新台幣4.72億元,2023-06-02
2548,華固,華固:公告本公司取得台中市北屯區土地,2023-06-02
3597,映興,映興:公告本公司董事會決議除息基準日相關事宜,2023-06-02
2436,偉詮電,偉詮電:公告本公司112年度股東常會重要決議事項,2023-06-02
2436,偉詮電,偉詮電:公告本公司112年度股東常會通過解除董事競業禁止之限制,2023-06-02
9917,中保科,中保科:公告本公司除息基準日及相關事宜,2023-06-02
2436,偉詮電,偉詮電:公告本公司董事會決議除息基準日,2023-06-02
3597,映興,映興:公告本公司庫藏股轉讓員工並訂定認股基準日,2023-06-02
5438,東友,東友:公告本公司除息基準日,2023-06-02
4543,萬在,萬在:因本公司有價證券近期多次達公布注意交易資訊標準，故公告相關訊息，以利投資人區別暸解,2023-06-02
2707,晶華,晶華:公告本公司111年度現金股利配發基準日,2023-06-02
3481,群創,群創:公告本公司受邀參加元富證券所舉辦之「2023年夏季產業投資論壇」,2023-06-02
6190,萬泰科,萬泰科:公告本公司董事解任,2023-06-02
6024,群益期,群益期:代子公司群益期貨(香港)有限公司公告更換會計師事務所及簽證會計師,2023-06-02
2328,廣宇,"廣宇:公告本公司之子公司宏華勝精密電子(煙台)有限公司新增資金貨與他人金額達新台幣一千萬以上,且達最近期財務報表淨值百分之二以上。",2023-06-02
6024,群益期,群益期:代子公司上海群期資訊科技有限公司公告向群益國際控股有限公司取得使用權資產,2023-06-02
6425,易發,易發:公告本公司決議除息基準日及發放日,2023-06-02
2022,聚亨,聚亨:公告本公司董事會通過資金貸與額度案,2023-06-02
9931,欣高,欣高:公告本公司111年度盈餘分配現金股利除息相關日期。,2023-06-02
2412,中華電,中華電:公告股利配發基準日,2023-06-02
6174,安碁,安碁:安碁科技股份有限公司112年現金股利發放公告,2023-06-02
6584,南俊國際,南俊國際:公告本公司股票初次上櫃前現金增資發行新股股款繳納憑證劃撥暨上櫃日期事宜,2023-06-02
4129,聯合,聯合:聯合骨科器材股份有限公司國內第四次無擔保轉換公司債發放暨上櫃買賣公告,2023-06-02
6414,樺漢,樺漢:樺漢科技股份有限公司（公司代號：6414）112年第1季轉換普通股股票已上市股數。,2023-06-02
2897,王道銀行,王道銀行:王道商業銀行一0八年度第一次次順位金融債券還本付息公告,2023-06-02
6248,沛波,沛波:公告沛波股份有限公司第四次無擔保轉換公司債(簡稱：沛波四，代碼：62484)自112年06月13日起，轉換價格自21.5元調整為20.2元。,2023-06-02
1436,華友聯,華友聯:代取得人冠金投資股份有限公司、吉野投資股份有限公司依證券交易法第43條之1第1項規定辦理公告,2023-06-02
4555,氣立,氣立:台灣氣立股份有限公司（公司代號：4555）112年第2季轉換普通股股票已上市股數。,2023-06-02
2603,長榮,長榮:公告長榮海運股份有限公司國內第四次無擔保轉(交)換公司債(簡稱：長榮四，代碼：26034)停止受理轉交換等相關事項。,2023-06-02
6504,南六,南六:澄清112年6月2日工商時報B4版有關本公司報導,2023-06-02
4737,華廣,"華廣:更正公告本公司111年第4季因員工認股權憑證執行而新增發行股數(更正股數為61,800)",2023-06-02
2115,六暉-KY,六暉-KY:公告本公司現金股利配發基準日,2023-06-02
8059,凱碩,凱碩:凱碩科技股份有限公司（公司代號：8059）108年第1次員工認股權憑證首次行使認購普通股股票上櫃買賣日期。,2023-06-02
1587,吉茂,吉茂:公告本公司112年股東常會重要決議事項,2023-06-02
1609,大亞,大亞:大亞電線電纜股份有限公司（公司代號：1609）國內 第 4 次 無擔保轉換公司債首次轉換之普通股股票上市買賣日期。,2023-06-02
1101,台泥,台泥:公告本公司111年度第1次無擔保普通公司債甲券付息事宜,2023-06-02
2603,長榮,長榮:公告長榮股份有限公司國內第四次無擔保轉換公司債(簡稱：長榮四，代碼：26034)自112年07月08日起，轉換價格自189.90元調整為103.76元。,2023-06-02
3163,波若威,波若威:公告波若威股份有限公司國內第二次無擔保轉換公司債(簡稱：波若威二，代碼：31632)自112年07月04日起，轉換價格自61.00元調整為57.10元。,2023-06-02
3664,安瑞-KY,安瑞-KY:公告本公司112年4月份自結流動比率、速動比率、負債比率,2023-06-02
2352,佳世達,佳世達:本公司受邀參加台灣董事學會、臺灣證券交易所及安擘諮詢共同舉辦之2023線上外資論壇,2023-06-02
6289,華上,華上5月營收0.02億元年減7.6% 1—5月達0.09億元,2023-06-02
4737,華廣,華廣:華廣生技股份有限公司（公司代號：4737） 員工認股權憑證於 111 年第 4 季行使所發行之普通股股票已上市股數。,2023-06-02
6425,易發,易發:代重要子公司東野精機股份有限公司公告決議除息基準日及發放日,2023-06-02
8059,凱碩,凱碩:凱碩科技股份有限公司（公司代號：8059）109年第1次員工認股權憑證首次行使認購普通股股票上櫃買賣日期。,2023-06-02
4107,邦特,邦特:本公司內部稽核主管異動,2023-06-02
4116,明基醫,明基醫5月營收2.46億元年減13.78% 1—5月達11.62億元,2023-06-02
4972,湯石照明,湯石照明5月營收0.61億元年減21.71% 1—5月達2.91億元,2023-06-02
